term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
compensated,Topic_Improve, Compensation,21.131252061,6.24524520878e-101,298,1387,"Recently, discussions about compensation have come about and for the most part I feel that some of my concerns have been addressed seeing as the kitchen hourly employees are getting raises both in December and in July next year. I am a hourly employee however also a manager so I do not fall under the category to get the same raises.  Personally I feel like I am not compensated appropriately for the work that I am doing. I feel like I am compensated a fair wage but for the time and work that I am doing I feel that I am not compensated enough.         The starting salary for pastry chefs in Columbus is $42,000 per year for someone with 0-1 years of experience as a pastry chef. For someone with 3-4 years of experience the suggested salary is $47,000 per year according to Salary.com          My current pay comes out to $37,835 annually and I am going on 4 years experience In a Pastry Chef Management Position.          Previously at the last 3 places I have worked I have held the same job title as I do here but was compensated between $4 and $6 per hour more than I am in my current role within this company which is appropriate and matches the median salary pay for a Pastry Chef position in Columbus.   I love working for the company and I have many opportunities to show off my talents and skills but when looking at my future with the company, I feel that unless my compensation gets adjusted appropriately then within the next year or so then I will have little choice but to explore opportunities that will better compensate for the work that I am doing.","I would suggest giving fair compensation based on the skills and knowledge of an individual employee. I feel that there are some employees that do poor or even less work than others however they are being compensated more. There are many employees that spend the year sharpening new skills and utilizing their new skills to make huge improvements to the department, however they are still a contractor not offered a full time position with Hilton. This could also be said for those seemingly stuck as a hourly paid coordinator when they have done above and beyond in hopes of obtaining a salary analyst position. I can see that some of my coworkers are becoming very defeated by this. Hilton stands to lose some amazing and otherwise dedicated employees by not compensating them adequately.","I feel as though we are not fairly compensated for the amount of work that we do. We are constantly having new tasks added to our jobs, but we do not see increases in compensation to support this. Some factors that are taken into account when determining individual raises at the end of the year are out of our control (i.e. hotels that are down in RPI due to not listening to your recommendations or being in a down market).",1685
livable,Topic_Improve, Compensation,18.384189293,3.9754645532e-05,12,0,Compensation(monetary)    being able to make a livable wage,A livable wage without having to worry about tips as a buffer between minimum wage and a reasonable amount.,As a full time Rum Largo server I have come to realize that it is not easy to make a livable wage there. Servers should rotate outside so we all get a chance to make a livable wage.,12
desktop,Topic_Improve, Computers/Technology/Software,147.420150502,1.01148932179e-05,4,108,"I'd like to be trusted a bit more when it comes to installing things on my laptop. Many of the systems I use, and the laptop itself, need fairly regular update but each time that happens I don't have the authority to complete those updates. So I need to wait until I'm in the office to get desktop support to do it, or use the chat fuction at corporate support.","This is not about my deportment, I am talking about overall Hilton.     1. Too much outsourcing. That will never work for good and big companies. In my sense except QA team nothing should outsource.     2. I know we need new and fresh minds but should not avoid old people who is working for years. It is kind of collapse our foundation and trying to decorate building. Decoration will never stay without foundation.     3. Too many restrictions on Desktops and Laptops.  I can understand about security but should have flexible to install few things (like iTunes)  than too much restrictions. If not, What is the point of calling it personal laptop or desktop?     4. Hilton University : Just assign related topics to the people. If I work at Hotel I need only Hotel related training not about software. If I am in IT I need only IT related training not about Hotel. Do not waste resources time.  And consider their area of interest. Not just assigning and asking him/her to complete it by force. It is just useless. I can complete n-number of things and will never remember them if I am not interested.     5. Implementing new policies or technologies : There is one story, in the company the top position guy was traveling in a flight in business class. He was bored and was reading a article about a technology. When magazine have an article about a technology definitely they will say good about it. Next day morning that guy attended a meeting and said why can't we use that technology? Actually he don't know any thing about it. And also he will not know anything about what people really using and is it really adoptable to the company. Just try to implement it without IT knowledge. That should not happen in Hilton.","I would like the Reception desk to be modernised. The check-in/check-out process would be faster if the PDQs and desktops matched up. Furthermore, the look of the reception desk could be improved! For example, newer desktops and maybe iPads for guests to sign their paperwork on.   I would love the hotel to try and cut down on paper wastage. ie. iPads/Technology based check-in would mean paper wastage would be more than halved.   Newer uniform would be the quickest way to modernise the overall look of the Reception. Better fitting clothes, and maybe more stylish clothes, would make me feel more comfortable and if people look better or feel more comfortable, I believe that they would be happier at work.",112
iphone,Topic_Improve, Computers/Technology/Software,147.420150502,1.01148932179e-05,4,188,"I believe that we are constantly growing, learning, experiencing new challenges...as we have changed leadership: perhaps a way to forecast scheduling for upcoming groups. Or, to provide even more information for our guests with our Hilton App...such as updated restaurant hours and menus? Or, perhaps even a way that we could offer a small discount incentive if convention guests were to make reservations in our restaurants ahead of time. There are so many great ways to utilize technology...having an iPad in The Bistro that is only for Trip Advisor reviews...so many ideas that I could go on about forever. I realize that these things are easier said than done but perhaps we could have a mini pow wow session.","It seems we are making huge changes in the way we do business to secure our company information (which is a great thing) but the people making the decisions don't seem to take into account the end user. It seems we buy an off the shelf product that was written by programmers and never tested to see how it will affect the productivity of the team members.  I am talking about the Vault/Declare/Boxer.  The Vault is just that... something you can't get into... There has been a program update that now you need to be on VPN to see an email you just sent 3 weeks ago... Then the download process from the Vault is sketchy at best.  Then there is Declare... Have you ever tried to put something into Declare?  The process is so time consuming you need to dedicate a block of time so you can enter sensitive information into the program.  Now there is Boxer... Did you know you can not attach a photo to an email?  So for example, you are doing your expense report and you have a photo of a receipt on your iPhone.  You used to be able to email the photo to yourself then save it on your computer to then upload it into Concur Expense.  Now Boxer won't allow that so I need to go to my person email, upload the photo there and email my work computer to get a copy of my receipt.  Who though this was a good idea?  Probably the programmer but not the end user.  As we move forward with more data security, please make it user friendly..","This is specific to Building B, Memphis.    Having projectors/TVs in all conference rooms, even the small ones.  If I want to show something on the screen for 2 other people, I don't want to book the Marketing room, which holds 15.  Some small rooms have TVs but they are all booked as there are few.      It would be cool to have a ""coffee shop"" somewhere on campus.  And I've even thought once that it would be cool if there was a vending machine or shop that sold iphone headphones, charges etc.",192
log-in,Topic_Improve, Computers/Technology/Software,147.420150502,1.01148932179e-05,4,1929,The only improvement at this point is updating or getting a new reservation system. OnQ is really slow to use and it makes it hard sometimes to work with a guest because we are waiting on OnQ all the time.,OnQ system seems a little bit outdated,"Improve the computers and network systems so that we have the equipment to work faster instead of having software and programs that overload the memory capacity of the local and Hilton Servers.  Not looking for a super computer, but an I5 Core Processor with about 8GB of RAM and a consistent network that can handle it - that would be great.       Also - time to scrap OnQ PMS and begin from scratch.  Do a hotel by hotel implimentation for the new program.  Might take a year or two, but should be easier to update new software than to continue to have to build and ensure compatability with an 18 year old software platform.    Tech Support - Peoplesoft Tech Support is joke - they have five people on one e-mail and then ask one question at a time. If I wanted a tech issue to take five days to solve, then I would just do the online research and figure it out myself in a few hours.     Corporate Tech Support - still dread talking to them.  Need to improve their training and have members who specialize in areas such as AR, Database Maintainence and so forth.  When I can tell they're looking up Coach, they shouldn't be on the phone with me.    When I know more than the tech agent, then they shouldn't be on the phone with me.",1933
download,Topic_Improve, Computers/Technology/Software,131.040133779,3.10430230712e-13,13,0,Internet is not very fast to access and download some website or data source.  and some useful website is prohibited or need VPN.,"Network system does need to adapt the local facility. I have more difficulty for using application software (e.g. outlook, declare) and connect network by download email attachments.","1. Although Data is considered King in business, it is one of the two Achilles heels within HSM.  Data is partial, fragmented and from disparate sources.  We inefficiently expend far too much time finding then manipulating data than just acting upon what it reveals or its inferences.     2.  Getting access to the software and related tools required to perform essential and fundamental responsibilities if baffling and irritating, killing productivity or smudging the luster of a new team member (who only wants the tools to be initiate their learning and productivity and to prove to themselves and others that they belong.    3.  Software support, may be well intended but ineffective and ponderous at times.   Controls may also have gone to a point of diminishing returns relative to downloads or protection software.  Simple innocuous software (wireless mouse/keyboard/printer) or updating Java, Browsers or other existing software that would typical take a competent user a few minutes now requires a week or longer delays to enable the oppressively understaffed local Help Desk support provide fulfillment.      4.   Help OPAS workflow seems to have gaps relative to service request approval, its status or closing.    Would also help if the emails they sent out included pertinent fields- Date submitted, Service Request/Incident Number and the Request Title;  shouldn't have to search emails or other areas to align email update or request for more content without knowing which one of several they are specifically referring to.",13
VPN,Topic_Improve, Computers/Technology/Software,126.360129001,1.1882085799e-14,15,682,Internet is not very fast to access and download some website or data source.  and some useful website is prohibited or need VPN.,"Remote access to network is not good than it should have been. When we need to access common drive/system, we have to access through VPN which is not unstable.","Some improvement that could be made are from the IT side. I would say that for those who access servers and drives remotely would solely depend on the condition of the network of our server. Improvements can be made to better enhance the efficiently of the servers for us to work more effectively. As for those whom are working of remote access, it could be a suggestion as well to provide personal access via VPN or etc as most of us from National Sales Office works remotely from different locations.",697
browsers,Topic_Improve, Computers/Technology/Software,122.850125418,1.27859406807e-08,8,314,"I understand that IT needs to protect Hilton's technology infrastructure from malware, hackers, and software viruses, but it would be great if they could some kind of balance where end users would have some type of minor administrative rights to update certain types of software such as Google Chrome, Adobe Flash, or Firefox without having to contact the Help Desk to get a ticket issued to have someone from the local IT update the software.  On several occasion, I have been in time sensitive situations where Hilton could have incurred financial penalties because I or someone on my team were, almost, unable, to perform our job duties because the version of Internet Explorer issued by Hilton did not meet the respective websites security protocol and we were unable to use an alternative browser to perform our job duties because we lost our ability to update other browsers over a year ago.  In these type of situations, either I or one of my team members have had to use their personal computers to perform their job duties, so Hilton would avoid incurring a financial penalty.    I, also, have major issues with the IT Help Desk.  It takes too long to get help from the Help Desk.  If you call the Help Desk, it is very frustrating because I have a hard time understanding their accent, and they have a hard time understanding my accent.  If I go on the Help Desk chat line, it takes forever because the Help Desk person is juggling multiple chats and you are held hostage while you wait for the person to return to your conversation.","I know that we are making improvements with BOSS and that it will help to bring us from working with systems created before I was born - but...we always seem to be behind or short staffed when it comes to the technology department.  Internet Explorer hasn't worked for months for the QA department.  Because of this - I have to use Firefox for some things, go to a back door in Internet Explorer for other applications and use Google Chrome if none of that works.  Many occasions I am working with 3 different internet browsers to attempt to complete 1 task.  Not very efficient.  The 1 or 2 people in the Memphis office who could research and possibly fix it are also dealing with the multiple computer crashes that happen each week.    I don't know if the solution is more people, or additional funds.  But, I know that our overall efficiency this year has gone down, significantly.","Building C meeting rooms were renovated over the past year, yet wires disconnect or are all around the tables. Not all connections work to the TVs, or the connections work but the screen turns purple. Not all rooms have a conference phone. The telepresence rooms' screens do not all ways project once connected, or do not connect properly. It is embarrassing to have clients visit with wires everywhere, or not be able to connect properly through our technology.   Also, while Hilton now supports Chrome, we still do not have the ability to update flash player to properly run with the different Hilton systems. Even though the other browsers are an option, the fact is that our own systems work better in Chrome. This is hampering our ability to support our users effectively.  While computer refreshes occur every 3 years, the amount of data that we work with and end up saving to our laptops, means that even after two years our computers have to be taken to allow for more storage.",322
Boxer,Topic_Improve, Computers/Technology/Software,117.936120401,4.699724559e-10,10,0,"It seems we are making huge changes in the way we do business to secure our company information (which is a great thing) but the people making the decisions don't seem to take into account the end user. It seems we buy an off the shelf product that was written by programmers and never tested to see how it will affect the productivity of the team members.  I am talking about the Vault/Declare/Boxer.  The Vault is just that... something you can't get into... There has been a program update that now you need to be on VPN to see an email you just sent 3 weeks ago... Then the download process from the Vault is sketchy at best.  Then there is Declare... Have you ever tried to put something into Declare?  The process is so time consuming you need to dedicate a block of time so you can enter sensitive information into the program.  Now there is Boxer... Did you know you can not attach a photo to an email?  So for example, you are doing your expense report and you have a photo of a receipt on your iPhone.  You used to be able to email the photo to yourself then save it on your computer to then upload it into Concur Expense.  Now Boxer won't allow that so I need to go to my person email, upload the photo there and email my work computer to get a copy of my receipt.  Who though this was a good idea?  Probably the programmer but not the end user.  As we move forward with more data security, please make it user friendly..","My frustration this year has been all about time spent calling IT support on OnQ/PIM, VPN, Password resets and the new Boxer email.    For the Password reset in particular, I need to call IT every time and the 50 number/letter confirmation you have to do with the IT Helpdesk is very time consuming.",Technology now is very complex. As i work from home quite a bit this gets difficult when i dont log in to hotel/corporte very often.    Maybe some easier instructions. ie Boxer,10
software,Topic_Improve, Computers/Technology/Software,108.232515558,8.45129761163e-125,165,1592,"Improve the computers and network systems so that we have the equipment to work faster instead of having software and programs that overload the memory capacity of the local and Hilton Servers.  Not looking for a super computer, but an I5 Core Processor with about 8GB of RAM and a consistent network that can handle it - that would be great.       Also - time to scrap OnQ PMS and begin from scratch.  Do a hotel by hotel implimentation for the new program.  Might take a year or two, but should be easier to update new software than to continue to have to build and ensure compatability with an 18 year old software platform.    Tech Support - Peoplesoft Tech Support is joke - they have five people on one e-mail and then ask one question at a time. If I wanted a tech issue to take five days to solve, then I would just do the online research and figure it out myself in a few hours.     Corporate Tech Support - still dread talking to them.  Need to improve their training and have members who specialize in areas such as AR, Database Maintainence and so forth.  When I can tell they're looking up Coach, they shouldn't be on the phone with me.    When I know more than the tech agent, then they shouldn't be on the phone with me.","More up to date P.O.S. systems, outdated computers and software, LISTEN TO YOUR Internet Telecommunications DEPARTMENT!!!!!!   Invest in the most advanced technology and have built in redundancy.","No suggestions on improvement, Just some comments.     Paul has been very supportive, knowledgeable, and available to me, which is so very valuable.  He has offered advice, led me to resources, shared experiences and has been a great motivator.  He keeps his team of GM's connected and therefore provides an incredible amount of support, I am privy to 10 GM's experience, knowledge and advice.  It's an amazing TEAM.     Front desk computer software - I would love to see the OnQ system changed.  I have worked with several systems and this is the most difficult for training and  with each task there are several steps,  Other systems are more streamlined.",1757
Delphi,Topic_Improve, Computers/Technology/Software,103.740105909,1.98817178031e-28,36,1725,"Hilton is dated when it comes to deployment and technology.  Competition like Marriott has software that communicates to all of its hotels and has all the information you need on groups, accounts, contacts all in one web based application created by Oracle.  All of their Corporate Negotiated account information is also organized in online software.  RFP warehouse is so dated with the same generic information and clunky online system.  OnQ server crashes way too much and makes it difficult as a front line employee or someone on the phone with a guest.  We have way too many systems and databases that do not communicate with each other therefore experiencing skewed numbers and reporting.  For instance, OnQ and FMS can report different room night actuals therefore reporting wrong group actuals in sales databases like Delphi and SalesPro.  We should have 1 sales database (with restricted user access depending on your role and location), 1 reservations system that's merged with revenue management system so it can be viewed in real time, and they should both communicate.  Marriott also has account managers deployed nationally, local, regionally, etc and Hilton may have 1 manager deployed to 20 accounts and they range from all over a region or part of the country.  While that person is home based and trying to work that account from a surface level, there are multiple opportunities on various levels but the hotels are expected to fill that gap so multiple hotels are harassing the same meeting planners and local contacts therefore stressing out the same planner working one account.  Also take into consideration turnover, so now you have new managers calling on those contacts every time there's turnover.  Marriott has dedicated account managers in various levels that already have those relationships and can introduce the hotels without being too intrusive.  Also they can host exclusive client events on various levels. I would also suggest workstation refreshes like brand.","Please create a centralized data warehouse or data cube to house data from all systems. We spend a significant amount of time as a property pulling reports from various systems (RMS, FMS, R&I, Delphi, ResMax, PMS, Ops Audit, etc.) which then have to run through custom reporting tools created and supported by RM_Assist team (Daily Detail, Group Pickup, SRP Activity, etc.). While these tools are impressive in quality of build, they are often inflexible; focused on a specific output. By housing data from all systems in one location and allowing property-level analysts read-access, it would eliminate an entire layer or reporting processes. RM_Assist tools could be layered on top of the data source and only require a requery of data as opposed to a slew of macros to reformat reports from each system into a usable format - a significant use of effort and time. We could also develop dashboards for leadership at all levels, enabling on-demand access to useful information. This would free up time for everyone which could be focused on strategic improvements in our business.","There are far too many systems being used that do not talk to each other. This presents a problem when on-boarding new team members as they become daunted by the number of different systems they need to learn - revenue systems, PMS, catering system, inventory systems, manual spreadsheets etc. Very few of the systems are integrated which means so much double handling and incorrect information - massively time consuming and avoidable.     Such a huge effort in implementing Delphi.fdc yet it did not address the key things we wanted - less manual reporting to regional and integration with OnQ.",1761
authorize,Topic_Improve, Computers/Technology/Software,98.2801003344,2.00766152368e-05,5,12,"Recently we have implemented EMV terminals (chip & signature/pin) to use for credit card (CC) transactions in all F&B outlets.      These terminals are stationary and although ensure the secure transmission of our guests personal credit card data, they significantly slow down the speed of service due to the following:  - Although the footsteps of our team members remain the same (traveling to a POS terminal to authorize CC transactions), the transmission time for these terminals to authorize a CC is significantly greater than the old method of swiping CC at the POS terminal).  - The EMV technology requires the use of pin numbers for debit cards and many international CC which further protects our guests.  However, the official SOP of the EMV terminals suggest manually entering any CC that requires a pin# (completely counter intuitive to the utilization of the EMV terminal).    The use of stationary EMV terminals within a Restaurant or Bar operation has caused some significant declines in speed of service which has a knock on effect on the operation and guest experience as whole.  I would strongly suggest the implementation of portable EMV devices with F&B outlets to process our guest's CC so that they may be present for the transaction (avoiding any mistrust in the lengthy process of authorizing a CC out of sight) and fulfill entering their pin# if necessary to further reinforce the protection of our guests personal information.    I would hope that the F&B outlet rollout of stationary EMV terminals is reconsidered soon, as opposed to being replaced when the currently installed machines become obsolete in 3-4 years.","There are only a few suggestions that I have for this property. The main ones would be improving the OnQ program and the EMV readers. There have been many times where OnQ would either go really slow or just stop working in general. This becomes more inconvenient when the lines are extremely long, which happens very frequently since this hotel has more than 1500 rooms. The EMV readers go very slow as well and it is not uncommon where the transaction gets stuck into pending. This double authorizes the guests account and sometimes leaves them with no money on their vacation.",We need a better operating system. Currently our system is always crashing and have a hard time checking in or checking out guests. We are always having to call OnQ support to resolve issues. It becomes extremely difficult on busy days where we have over 1000 arrivals and our system is operating slowly. Having many issues with authorizing credit cards or check outs becomes very tiresome and guests tend to get very upset when they have to wait awhile to get keys for their room or to get a folio of their stay. Perhaps an improvement on our server would help speed things up.,17
Chrome,Topic_Improve, Computers/Technology/Software,98.2801003344,2.00766152368e-05,5,0,"Building C meeting rooms were renovated over the past year, yet wires disconnect or are all around the tables. Not all connections work to the TVs, or the connections work but the screen turns purple. Not all rooms have a conference phone. The telepresence rooms' screens do not all ways project once connected, or do not connect properly. It is embarrassing to have clients visit with wires everywhere, or not be able to connect properly through our technology.   Also, while Hilton now supports Chrome, we still do not have the ability to update flash player to properly run with the different Hilton systems. Even though the other browsers are an option, the fact is that our own systems work better in Chrome. This is hampering our ability to support our users effectively.  While computer refreshes occur every 3 years, the amount of data that we work with and end up saving to our laptops, means that even after two years our computers have to be taken to allow for more storage.","I know that we are making improvements with BOSS and that it will help to bring us from working with systems created before I was born - but...we always seem to be behind or short staffed when it comes to the technology department.  Internet Explorer hasn't worked for months for the QA department.  Because of this - I have to use Firefox for some things, go to a back door in Internet Explorer for other applications and use Google Chrome if none of that works.  Many occasions I am working with 3 different internet browsers to attempt to complete 1 task.  Not very efficient.  The 1 or 2 people in the Memphis office who could research and possibly fix it are also dealing with the multiple computer crashes that happen each week.    I don't know if the solution is more people, or additional funds.  But, I know that our overall efficiency this year has gone down, significantly.","I understand that IT needs to protect Hilton's technology infrastructure from malware, hackers, and software viruses, but it would be great if they could some kind of balance where end users would have some type of minor administrative rights to update certain types of software such as Google Chrome, Adobe Flash, or Firefox without having to contact the Help Desk to get a ticket issued to have someone from the local IT update the software.  On several occasion, I have been in time sensitive situations where Hilton could have incurred financial penalties because I or someone on my team were, almost, unable, to perform our job duties because the version of Internet Explorer issued by Hilton did not meet the respective websites security protocol and we were unable to use an alternative browser to perform our job duties because we lost our ability to update other browsers over a year ago.  In these type of situations, either I or one of my team members have had to use their personal computers to perform their job duties, so Hilton would avoid incurring a financial penalty.    I, also, have major issues with the IT Help Desk.  It takes too long to get help from the Help Desk.  If you call the Help Desk, it is very frustrating because I have a hard time understanding their accent, and they have a hard time understanding my accent.  If I go on the Help Desk chat line, it takes forever because the Help Desk person is juggling multiple chats and you are held hostage while you wait for the person to return to your conversation.",5
EMV,Topic_Improve, Computers/Technology/Software,98.2801003344,2.00766152368e-05,5,1407,"Recently we have implemented EMV terminals (chip & signature/pin) to use for credit card (CC) transactions in all F&B outlets.      These terminals are stationary and although ensure the secure transmission of our guests personal credit card data, they significantly slow down the speed of service due to the following:  - Although the footsteps of our team members remain the same (traveling to a POS terminal to authorize CC transactions), the transmission time for these terminals to authorize a CC is significantly greater than the old method of swiping CC at the POS terminal).  - The EMV technology requires the use of pin numbers for debit cards and many international CC which further protects our guests.  However, the official SOP of the EMV terminals suggest manually entering any CC that requires a pin# (completely counter intuitive to the utilization of the EMV terminal).    The use of stationary EMV terminals within a Restaurant or Bar operation has caused some significant declines in speed of service which has a knock on effect on the operation and guest experience as whole.  I would strongly suggest the implementation of portable EMV devices with F&B outlets to process our guest's CC so that they may be present for the transaction (avoiding any mistrust in the lengthy process of authorizing a CC out of sight) and fulfill entering their pin# if necessary to further reinforce the protection of our guests personal information.    I would hope that the F&B outlet rollout of stationary EMV terminals is reconsidered soon, as opposed to being replaced when the currently installed machines become obsolete in 3-4 years.","Please create a centralized data warehouse or data cube to house data from all systems. We spend a significant amount of time as a property pulling reports from various systems (RMS, FMS, R&I, Delphi, ResMax, PMS, Ops Audit, etc.) which then have to run through custom reporting tools created and supported by RM_Assist team (Daily Detail, Group Pickup, SRP Activity, etc.). While these tools are impressive in quality of build, they are often inflexible; focused on a specific output. By housing data from all systems in one location and allowing property-level analysts read-access, it would eliminate an entire layer or reporting processes. RM_Assist tools could be layered on top of the data source and only require a requery of data as opposed to a slew of macros to reformat reports from each system into a usable format - a significant use of effort and time. We could also develop dashboards for leadership at all levels, enabling on-demand access to useful information. This would free up time for everyone which could be focused on strategic improvements in our business.","From a company standpoint, the tools and systems we are using seem dated. Many of the revenue management toolkits and FMS are prone to excessive crashing. Is there a timeline for implementing GRO at full service Hiltons? If not, are there thoughts about doing any overhauls to existing systems to improve reliability (OnQ PMS, Forecast Management, and RMS have been the worst in my experience.)",1412
modem,Topic_Improve, Computers/Technology/Software,98.2801003344,2.00766152368e-05,5,38,"New credit card terminals, or a better wifi modem/program for the building.","I have a brand new Windows 10 PC for 2 years now, and I am forced to work on my old Windows 7 PC. I would love to see an upgrade to Hiltux so I can use my new PC for my work. I understand there is a 'box' I can request, however, the daily hassle of disconnecting my monitor and cable modem is not worth switching to the box. I continue to use and repair my older Window 7 PC which is compatible and less of a hassle than using the 'box' Hilton would provide me.","The system seems to be a little better since I first started at Hilton. But overall the system Avaya, journey and citrix is still very poor. Should not have so many issue to do the job. And when issues occur help desk still says turn computer and modem off and wait a few minutes and turn it back on. That is not an answer the issue is still going to exist a real IT department goes crazy when they hear that advice.",43
PeopleSoft,Topic_Improve, Computers/Technology/Software,98.2801003344,2.00766152368e-05,5,25,"PeopleSoft – My only ""complaint"" is the untold hours of time wasted trying to collect information that should reside in PeopleSoft and be easily accessible. As far as I know, most departments or teams have to manually collect contact information and keep it updated in spreadsheets. The last time I checked, requesting data through PeopleSoft required about two weeks, and often the report supplied still had missing or inaccurate information. If people truly are Hilton's most important resource, can we not make a company-wide effort to ensure we have complete and accurate information in PeopleSoft, and then improve our reporting to the point where we can download non-sensitive data (e.g., basic contact information) for a department on demand?","Improve the computers and network systems so that we have the equipment to work faster instead of having software and programs that overload the memory capacity of the local and Hilton Servers.  Not looking for a super computer, but an I5 Core Processor with about 8GB of RAM and a consistent network that can handle it - that would be great.       Also - time to scrap OnQ PMS and begin from scratch.  Do a hotel by hotel implimentation for the new program.  Might take a year or two, but should be easier to update new software than to continue to have to build and ensure compatability with an 18 year old software platform.    Tech Support - Peoplesoft Tech Support is joke - they have five people on one e-mail and then ask one question at a time. If I wanted a tech issue to take five days to solve, then I would just do the online research and figure it out myself in a few hours.     Corporate Tech Support - still dread talking to them.  Need to improve their training and have members who specialize in areas such as AR, Database Maintainence and so forth.  When I can tell they're looking up Coach, they shouldn't be on the phone with me.    When I know more than the tech agent, then they shouldn't be on the phone with me.","Met with the IT Team during their visit to our Hotel.  Opportunities to make our applications more user friendly and efficient.  1) Establish PeopleSoft system entry date to allow new hires to have access to system on Day 1  2) ePAF - Add the name of ""Executive Committee Approver"" to streamline search for approver, also list action dates to avoid looking at each ePAF individually.  This process is an ""activity trap"", time waster with no positive impact.  Not necessary to remind the HR folks that ePAF is waiting in the system for requests outside of the current pay period.  If TM has requested PTO in advance, the system will continue to send reminders and takes space in your ""Inbox"".  3) Go Hilton - Auto change reservations from TM Honors to Honors Membership but at lowest Honors rate available for TM's exiting the Company in good standing.  System cancels reservation at this time.",30
wireless,Topic_Improve, Computers/Technology/Software,84.240086001,1.71545870176e-09,12,472,"I would love to see major improvements to the strength of the WiFi internet signals in the upper and lower retail shops area, there are too many times the loss of signal occurs and I have heard many shoppers come in and be disappointed they cannot make a call or check the internet on their mobile devices to check pages from name brands that we carry. This would be a great improvement for the overall customer experience.","being able to work on wired internet so we are not stuck to an umbilical cord. If we are using a secure server, it shouldn't matter if we are on wireless or wired internet. Wireless head set options for work from home employees.","I cannot stress enough how frustrating it is for us to get our jobs done in an efficient way when our internet connections drop constantly.  When I heard that Reservations was coming over to our building, I was extremely excited because I KNOW the hotel wouldn't allow them to lose connections, thinking they were going to upgrade our whole building and get us off wireless... but was even told by someone in IT that we they were ONLY fixing it for Reservations.  So needless to say, I'm a little ticked off at that.  Not fair.  I've been dealing with this for FAR TOO MANY Years... and obviously the rest of us feel we are not appreciated by our ""powers that be""  Oh, and I say this EVERY YEAR on the SURVEY, yet nothing ever happens to get it fixed... so why are we taking these surveys anyway?!",484
PC,Topic_Improve, Computers/Technology/Software,81.900083612,6.50729354866e-15,21,642,"department of engineering or property management could use a computer in the workshop or a laptop/tablet pc which will enable us to install and execute web apps thats we must use in order to service different components in the guest rooms such as safe's (decoding) monitoring the Boiler, etc.","Create more of a symbiotic relationship between Corp and Hotels instead of a dichotomy with changes as simple as hardware (i.e. same laptop, PC options for Hotels as Corporate so there isn't a culture of ""I'm better than you""). The Hotels make the revenue and are the reason Corporate even exists although it doesn't feel like that when it comes to major technology and infrastructure updates. Corporate IT departments responsible for pushing updates and interacting with hotel systems need to do a better job of working with Field Services IT since we're the ones left holding the bag when things go wrong, which is more often than not.","the PC equipment (laptop) needed for my work requires an improvement, in order for my job to be done and completed faster and efficiently",663
POS,Topic_Improve, Computers/Technology/Software,80.9365532166,2.71949168421e-20,30,1717,"Improve the computers and network systems so that we have the equipment to work faster instead of having software and programs that overload the memory capacity of the local and Hilton Servers.  Not looking for a super computer, but an I5 Core Processor with about 8GB of RAM and a consistent network that can handle it - that would be great.       Also - time to scrap OnQ PMS and begin from scratch.  Do a hotel by hotel implimentation for the new program.  Might take a year or two, but should be easier to update new software than to continue to have to build and ensure compatability with an 18 year old software platform.    Tech Support - Peoplesoft Tech Support is joke - they have five people on one e-mail and then ask one question at a time. If I wanted a tech issue to take five days to solve, then I would just do the online research and figure it out myself in a few hours.     Corporate Tech Support - still dread talking to them.  Need to improve their training and have members who specialize in areas such as AR, Database Maintainence and so forth.  When I can tell they're looking up Coach, they shouldn't be on the phone with me.    When I know more than the tech agent, then they shouldn't be on the phone with me.","From a company standpoint, the tools and systems we are using seem dated. Many of the revenue management toolkits and FMS are prone to excessive crashing. Is there a timeline for implementing GRO at full service Hiltons? If not, are there thoughts about doing any overhauls to existing systems to improve reliability (OnQ PMS, Forecast Management, and RMS have been the worst in my experience.)","We hear about efficiency improvements, but our systems really don't support this.  Our computers still run Windows 7 and they are very slow compared to most modern day computers.  In addition OnQ PMS, credit card processing, and multiple other systems run slower than desired and have multiple issues that impact productivity.",1747
outages,Topic_Improve, Computers/Technology/Software,78.6240802676,1.25569019588e-06,8,27,We lose productivity with outages or slow speeds....,"Systems are our biggest challenge.  Although we are told our systems integrate with each other, most times we are left frustrated with outages and systems that either won't or don't work","The technology is laughable. Constant Avaya problems, Journey outages. It makes people dread coming to work because these problems affect our performance and then we are graded on that performance. There is no way to win!",35
